     Time[ps]     Time[ns]  CellLengthX  CellLengthY  CellLengthZ  TotalEnergy         Bond        Angle     Dihedral    Planarity      Coulomb          VdW      SurfVdW      SurfMol      SurfAcc SoluteHBonds SltSlvHBonds    SelHBonds    RecHBonds    SlvHBonds    TotHBonds      HB1Atm1      HB1Atm2         HB1E         HB1D      HB2Atm1      HB2Atm2         HB2E         HB2D      HB3Atm1      HB3Atm2         HB3E         HB3D      HB4Atm1      HB4Atm2         HB4E         HB4D      HB5Atm1      HB5Atm2         HB5E         HB5D      HB6Atm1      HB6Atm2         HB6E         HB6D      HB7Atm1      HB7Atm2         HB7E         HB7D      HB8Atm1      HB8Atm2         HB8E         HB8D      HB9Atm1      HB9Atm2         HB9E         HB9D     HB10Atm1     HB10Atm2        HB10E        HB10D     HB11Atm1     HB11Atm2        HB11E        HB11D     HB12Atm1     HB12Atm2        HB12E        HB12D        Helix        Sheet         Turn         Coil     Helix310      HelixPi  RadGyration       RMSDCa       RMSDBb      RMSDAll  RMSDLigMove  RMSDLigConf
     3000.000        3.000       96.555       96.555       96.555 -1161403.706   107320.778    66315.503   132434.315     1015.630 -1654608.167   186118.235    51067.320    26220.881    24022.570      448.000      858.000        0.000        2.000        2.000        4.000    OG.S530.A     O10.h0.N       13.100        2.096    NE.R120.A     O13.h0.N       18.750        1.816            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       43.557        5.808       14.882       32.486        3.267        0.000       24.545        1.419        1.443        1.758        3.468        1.755
     3100.000        3.100       96.536       96.536       96.536 -1159903.380   105769.270    66101.218   132670.660     1091.473 -1652498.536   186962.534    51557.349    26439.880    23878.958      428.000      880.000        0.000        2.000        2.000        4.000    OG.S530.A     O10.h0.N       17.000        2.072    NE.R120.A     O13.h0.N       23.450        1.709            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       42.468        5.082       16.697       34.301        1.452        0.000       24.452        1.370        1.396        1.712        3.656        1.755
     3200.000        3.200       96.573       96.573       96.573 -1159440.027   107567.996    65409.439   133148.805     1100.037 -1652760.861   186094.558    50945.608    26212.663    24023.311      441.000      845.000        0.000        3.000        3.000        6.000    OG.S530.A     O10.h0.N       13.800        2.220   NH2.R120.A     O13.h0.N       11.925        1.916    OH.Y355.A     O14.h0.N       25.000        1.873            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       45.191        6.352       15.789       31.760        0.907        0.000       24.394        1.214        1.246        1.577        3.642        1.724
     3300.000        3.300       96.573       96.573       96.573 -1161362.338   106785.244    66190.902   132608.067     1049.766 -1655479.697   187483.380    51255.415    26594.422    23878.478      427.000      903.000        0.000        3.000        4.000        7.000    OG.S530.A      O7.h0.N       23.450        1.695   NH2.R120.A     O13.h0.N       18.575        2.038    OH.Y355.A     O14.h0.N       25.000        1.813            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       46.461        4.537       15.245       32.123        1.633        0.000       24.480        1.317        1.338        1.662        3.721        1.866
     3400.000        3.400       96.561       96.561       96.561 -1159526.222   107103.040    65570.892   133141.313     1102.649 -1650733.191   184289.075    51211.004    26693.887    23952.021      449.000      884.000        0.000        2.000        4.000        6.000    OG.S530.A      O7.h0.N       10.425        2.202    OH.Y355.A     O14.h0.N       25.000        1.634            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       44.828        5.263       15.608       32.668        1.633        0.000       24.474        1.262        1.288        1.623        3.361        1.650
     3500.000        3.500       96.572       96.572       96.572 -1160043.692   107847.669    66366.454   132771.233     1060.339 -1654197.526   186108.138    51263.670    26223.050    24020.577      434.000      877.000        0.000        3.000        4.000        7.000    OG.S530.A      O7.h0.N       15.825        1.976   NH2.R120.A     O13.h0.N       22.875        1.760    OH.Y355.A     O14.h0.N       23.850        1.781            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       41.924        6.171       18.149       33.031        0.726        0.000       24.416        1.301        1.326        1.679        4.099        1.877
     3600.000        3.600       96.588       96.588       96.588 -1160528.218   105645.549    66353.634   132938.025     1100.603 -1652225.148   185659.119    51398.313    26776.434    24343.419      437.000      886.000        0.000        2.000        3.000        5.000    OG.S530.A     O10.h0.N       18.575        1.918   NH2.R120.A     O13.h0.N        7.300        2.278            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       45.009        6.171       17.423       30.672        0.726        0.000       24.536        1.489        1.515        1.844        4.164        1.862
     3700.000        3.700       96.546       96.546       96.546 -1159872.342   106858.697    65417.276   133437.080     1052.775 -1653170.254   186532.083    51047.845    26488.950    24405.898      428.000      863.000        0.000        2.000        3.000        5.000    OG.S530.A      O7.h0.N       19.150        1.810    OH.Y355.A     O13.h0.N       18.750        1.908            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       45.191        4.537       17.786       32.486        0.000        0.000       24.525        1.388        1.408        1.761        4.030        1.862
     3800.000        3.800       96.538       96.538       96.538 -1160802.507   103916.140    65567.103   133253.463      976.709 -1651184.981   186669.060    51385.525    26582.570    24363.380      427.000      893.000        0.000        3.000        2.000        5.000    OG.S530.A      O7.h0.N       14.850        2.153   NH2.R120.A     O13.h0.N        7.075        2.423    OH.Y355.A     O13.h0.N       19.150        1.793            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       45.191        5.263       15.971       32.849        0.726        0.000       24.530        1.397        1.415        1.775        4.201        1.941
     3900.000        3.900       96.514       96.514       96.514 -1159932.302   105221.618    65856.434   133160.549     1029.944 -1655431.945   190231.099    51138.066    26458.351    24112.023      427.000      898.000        0.000        1.000        3.000        4.000    OH.Y355.A     O13.h0.N       25.000        1.668            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       45.191        5.808       16.334       31.942        0.726        0.000       24.603        1.442        1.463        1.804        4.236        1.890
     4000.000        4.000       96.571       96.571       96.571 -1159975.862   105988.659    65223.941   132673.394     1121.329 -1651260.980   186277.795    51355.712    26066.101    24066.613      435.000      889.000        0.000        1.000        3.000        4.000    OH.Y355.A     O13.h0.N       22.875        1.627            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       44.102        6.171       13.793       33.394        2.541        0.000       24.520        1.333        1.356        1.715        4.047        2.090
